state,R,D,win_margin
AL,9,0,-9
AK,3,0,-3
AZ,11,0,-11
AR,6,0,-6
CA,0,55,55
CO,0,9,9
CT,0,7,7
DE,0,3,3
DC,0,3,3
FL,29,0,-29
GA,16,0,-16
HI,0,3,3
ID,4,0,-4
IL,0,20,20
IN,11,0,-11
IA,6,0,-6
KS,6,0,-6
KY,8,0,-8
LA,8,0,-8
ME,1,3,2
MD,0,10,10
MA,0,11,11
MI,16,0,-16
MN,0,10,10
MS,6,0,-6
MO,10,0,-10
MT,3,0,-3
NE,5,0,-5
NV,0,6,6
NH,0,4,4
NJ,0,14,14
NM,0,5,5
NY,0,29,29
NC,15,0,-15
ND,3,0,-3
OH,18,0,-18
OK,7,0,-7
OR,0,7,7
PA,20,0,-20
RI,0,4,4
SC,9,0,-9
SD,3,0,-3
TN,11,0,-11
TX,36,0,-36
UT,6,0,-6
VT,0,3,3
VA,0,13,13
WA,0,8,8
WV,5,0,-5
WI,10,0,-10
WY,3,0,-3
