,,Page Name,Page ID,Candidates Mentioned+,# of Candidates Mentioned,Approx. Spend on Mentions^,# of Ads Mentioning,Total Spend++,Total # of Ads,Sponsor Name(s),Candidate Page
1,⊕,Senate Democrats,20787991568,"Mitch McConnell* (4437), Donald Trump (2721), Joseph Biden (1685), Lindsey Graham* (395), Susan Collins* (344), Martha McSally* (240), Mark Kelly* (208), Jaime R. Harrison* (181), Sara Gideon* (179), Amy McGrath* (144), Cal Cunningham* (73), Thom Tillis* (73), Cory Booker* (60), Cory Gardner* (60), Bernie Sanders (52), Steve Bullock* (49), Doug Collins* (37), John Hickenlooper* (37), Elizabeth Warren (21), Amy Klobuchar (7), Pete Buttigieg (7), Steve Daines* (3)",22,"$2,085,076 ","11,013","$6,533,154 ","61,267",DEMOCRATIC SENATORIAL CAMPAIGN CMTE,0
2,⊕,Flip the Senate,1.10019E+14,"Mitch McConnell* (994), Steve Bullock* (872), Susan Collins* (699), Steve Daines* (548), Donald Trump (486), Mark Kelly* (327), Sara Gideon* (285), Martha McSally* (243), Amy McGrath* (238), Lindsey Graham* (188), Joseph Biden (185), Cal Cunningham* (177), Jaime R. Harrison* (126), Thom Tillis* (41), Doug Jones* (24), Cory Booker* (15), Cory Gardner* (15), Joni Ernst* (15), Kelly Loeffler* (15), John Hickenlooper* (14), Doug Collins* (3)",21,"$274,356 ","5,510","$711,759 ","11,821",SENATE MAJORITY PAC,0
3,⊕,Senate Leadership Fund,1.57655E+15,"Theresa Greenfield* (215), Jon Ossoff* (181), Cal Cunningham* (150), Steve Bullock* (69), John Hickenlooper* (33), Barbara Bollier* (27), Robert Marshall* (25), Sara Gideon* (24), Donald Trump (23), Susan Collins* (21), Al Gross* (12), Doug Collins* (9), Cory Booker* (4), Cory Gardner* (4), Joni Ernst* (4), Martha McSally* (4), Mitch McConnell* (4), Thom Tillis* (4)",18,"$67,704 ",813,"$622,344 ","3,992",SENATE LEADERSHIP FUND,0
4,⊕,Stop Republicans,1.56968E+14,"Donald Trump (1329), Mitch McConnell* (611), Joseph Biden (355), Lindsey Graham* (209), Amy McGrath* (157), Susan Collins* (95), Jaime R. Harrison* (72), Mark Kelly* (58), Martha McSally* (55), David Perdue* (32), Jon Ossoff* (32), Sara Gideon* (27), John Cornyn* (14), Cory Gardner* (6), Pete Buttigieg (2), Bernie Sanders (1), Doug Collins* (1)",17,"$4,765,493 ","3,056","$16,472,246 ","31,171",STOP REPUBLICANS PAC,0
5,⊕,MoveOn,7292655492,"Donald Trump (9475), Mitch McConnell* (2075), Joseph Biden (1154), Susan Collins* (401), Cory Gardner* (383), Martha McSally* (383), Cory Booker* (380), Tom Cotton* (319), Doug Collins* (178), Kelly Loeffler* (172), Amy McGrath* (60), Scott Taylor* (50), Joni Ernst* (44), Mark Kelly* (17), Steve Bullock* (17), Steve Daines* (17)",16,"$103,221 ","15,125","$957,144 ","121,355","MOVEON.ORG CIVIC ACTION, MOVEON.ORG POLITICAL ACTION",0
6,⊕,End Citizens United,6.02714E+14,"Mitch McConnell* (454), Donald Trump (357), Joni Ernst* (246), Mark Kelly* (101), Susan Collins* (84), Steve Bullock* (83), Joseph Biden (60), Cal Cunningham* (37), Sara Gideon* (32), Martha McSally* (22), Thom Tillis* (21), Theresa Greenfield* (16), Lindsey Graham* (15), Amy Klobuchar (6), Doug Collins* (1)",15,"$165,253 ","1,535","$1,552,613 ","22,935",END CITIZENS UNITED,0
7,⊕,Progressive Turnout Project,1.61502E+15,"Donald Trump (2196), Mitch McConnell* (617), Joseph Biden (507), Lindsey Graham* (172), Susan Collins* (137), Jaime R. Harrison* (136), Amy McGrath* (95), Doug Collins* (43), Joni Ernst* (21), Cory Booker* (14), Martha McSally* (12), Mark Kelly* (10), Thom Tillis* (8), Cory Gardner* (5), Steve Bullock* (4)",15,"$2,247,185 ","3,977","$7,376,398 ","41,498",PROGRESSIVE TURNOUT PROJECT,0
8,⊕,AFP Action,1.15521E+15,"Thom Tillis* (211), David Perdue* (168), Steve Daines* (125), John Cornyn* (103), Cal Cunningham* (33), Steve Bullock* (20), Jon Ossoff* (18), Cory Gardner* (16), M.J. Hegar* (9), Robert Marshall* (7), John James* (5), Cory Booker* (4), Daniel McCarthy* (2)",13,"$207,625 ",721,"$1,043,341 ","9,686",AMERICANS FOR PROSPERITY ACTION,0
9,⊕,Blue Senate,1.0012E+14,"Thom Tillis* (55), Donald Trump (51), Susan Collins* (48), Cory Booker* (45), Cory Gardner* (45), Lindsey Graham* (31), Martha McSally* (28), Mitch McConnell* (28), John Hickenlooper* (21), Mark Kelly* (18), Amy McGrath* (12), Cal Cunningham* (9), Jaime R. Harrison* (4)",13,"$55,044 ",395,"$90,709 ","2,584",BLUE SENATE PAC,0
10,⊕,Joe Biden,7860876103,"Donald Trump (23839), Bernie Sanders (371), Elizabeth Warren (157), Cory Booker* (83), Mitch McConnell* (72), Amy Klobuchar (56), Pete Buttigieg (56), Joni Ernst* (50), Mike Bloomberg (38), Tom Cotton* (29), Lindsey Graham* (26), Charles Booker* (8)",12,"$40,960,702 ","70,695","$51,542,896 ","210,271","AMERICAN POSSIBILITIES PAC, BIDEN, JOSEPH R JR",1
